state,year,persons_avg,persons_max,n_months,state_fips,burden_index,no_online_app,recert_burden,no_bbce,no_simplereport,certnonearnavg,bbce,oapp_mean
Minnesota,2012,541967.8333333334,547774,12,27,0.2629917492999171,0.4166666666666667,0.6353003305330016,0,0,12.312073333333334,1,0.5833333333333334
Minnesota,2013,554447.9166666666,560132,12,27,0.15891641743326781,0,0.6356656697330713,0,0,12.305398333333333,1,1
Minnesota,2014,522016.5,548682,12,27,0.15361881659070897,0,0.6144752663628359,0,0,12.692561666666666,1,1
Minnesota,2015,490641.0833333333,499523,12,27,0.150650275953788,0,0.602601103815152,0,0,12.909510833333334,1,1
Minnesota,2016,472951.8333333333,483198,12,27,0.14903515513625137,0,0.5961406205450055,0,0,13.027548333333334,1,1
Minnesota,2017,448431,456771,12,27,0.14569357854645024,0,0.582774314185801,0,0,13.27176,1,1
Minnesota,2018,423439.0833333333,436161,12,27,0.14595173333701136,0,0.5838069333480455,0,0,13.252893333333333,1,1
Minnesota,2019,376016.0833333333,418348,12,27,0.1077453260482234,0,0.5746417389238582,0,0,13.420347777777778,1,1
Mississippi,2010,586582.1666666666,616748,12,28,0.530719414367739,1,0.7062109908042893,0.4166666666666667,0,11.0164865,0.5833333333333334,0
Mississippi,2011,631507.9166666666,651696,12,28,0.38550250769556693,1,0.5420100307822678,0,0,14.016551666666667,1,0
Mississippi,2012,665753.8333333334,728675,12,28,0.35885552847879726,1,0.4354221139151891,0,0,15.963986666666667,1,0
Mississippi,2013,667898.3333333334,671774,12,28,0.3680216427124563,1,0.4720865708498252,0,0,15.294101666666666,1,0
Mississippi,2014,652400.0833333334,660320,12,28,0.36581934517495746,1,0.4632773806998298,0,0,15.455051666666666,1,0
Mississippi,2015,629911,643651,12,28,0.36773953106611035,1,0.47095812426444134,0,0,15.314719166666666,1,0
Mississippi,2016,564461.75,611476,12,28,0.3557239307082622,1,0.42289572283304877,0,0,16.1928525,1,0
Mississippi,2017,530531.9166666666,543482,12,28,0.3514449466391312,1,0.4057797865565246,0,0,16.5055725,1,0
Mississippi,2018,492269.0833333333,513848,12,28,0.609460504652296,1,0.4378420186091839,0,1,15.919773333333334,1,0
Mississippi,2019,411983.0833333333,463284,12,28,0.5801892474388308,0.16666666666666666,0.6498982085626532,0.5,1,12.04536,0.5,0.8333333333333334
Missouri,2010,914769.1666666666,938015,12,29,0.6639271631492301,1,0.6557086525969205,1,0,11.939199166666667,0,0
Missouri,2011,948981.4166666666,961801,12,29,0.6172418305228943,1,0.4689673220915771,1,0,15.3510925,0,0
Missouri,2012,943991.8333333334,955681,12,29,0.46126028869988434,0.4166666666666667,0.42837448813287066,1,0,16.092751666666665,0,0.5833333333333334
Missouri,2013,916828.6666666666,941247,12,29,0.36090319540168486,0,0.4436127816067394,1,0,15.8143375,0,1
Missouri,2014,846930.8333333334,871755,12,29,0.3534478925775408,0,0.4137915703101631,1,0,16.359191666666668,0,1
Missouri,2015,845731,854887,12,29,0.35545489784039563,0,0.4218195913615825,1,0,16.21251416666667,0,1
Missouri,2016,790681.8333333334,838186,12,29,0.34270666923836274,0,0.370826676953451,1,0,17.14419,0,1
Missouri,2017,756005.25,765302,12,29,0.33349781807206136,0,0.33399127228824543,1,0,17.817198333333334,0,1
Missouri,2018,724712.25,749877,12,29,0.3407473382325457,0,0.3629893529301828,1,0,17.287383333333334,0,1
Missouri,2019,630400,713331,12,29,0.33154094090506625,0,0.32377390704924225,1,0,18.003876666666667,0,1
Montana,2010,117034.58333333333,122155,12,30,0.38466478171708,1,0.5386591268683201,0,0,14.077774999999999,1,0
Montana,2011,125439,127185,12,30,0.17651815450303324,0.16666666666666666,0.5394059513454663,0,0,14.06413,1,0.8333333333333334
Montana,2012,126568.33333333333,131681,12,30,0.12260525855652686,0,0.49042103422610744,0,0,14.959118333333333,1,1
Montana,2013,127939,130952,12,30,0.12566367446108045,0,0.5026546978443218,0,0,14.735600833333333,1,1
Montana,2014,123953.41666666667,125606,12,30,0.12283681108885569,0,0.49134724435542276,0,0,14.942195833333333,1,1
Montana,2015,117024.25,121789,12,30,0.12092854091131307,0,0.48371416364525227,0,0,15.0816575,1,1
Montana,2016,118409.25,121061,12,30,0.12009661885457505,0,0.4803864754183002,0,0,15.142456666666666,1,1
Montana,2017,120018.66666666667,122324,12,30,0.12248441383610431,0,0.48993765534441724,0,0,14.96795,1,1
Montana,2018,113084.5,117496,12,30,0.11916316807631955,0,0.4766526723052782,0,0,15.210675833333333,1,1
Montana,2019,98582.5,107957,12,30,0.08340119246714904,0,0.4448063598247949,0,0,15.79253,1,1
Nebraska,2010,166919.16666666666,173040,12,31,0.38268895115375673,0,0.5307558046150269,1,0,14.222174166666667,0,1
Nebraska,2011,175011.5,176299,12,31,0.3071091578432461,0,0.47843663137298437,0.75,0,15.178081666666667,0.25,1
Nebraska,2012,176378.5,178643,12,31,0.1195843800004948,0,0.4783375200019792,0,0,15.1798925,1,1
Nebraska,2013,180296.5,182487,12,31,0.11607135396586694,0,0.4642854158634678,0,0,15.436634166666668,1,1
Nebraska,2014,172354.5,178333,12,31,0.13984329383911678,0,0.5593731753564671,0,0,13.699315,1,1
Nebraska,2015,174678.16666666666,176663,12,31,0.14694641605984785,0,0.5877856642393914,0,0,13.180199166666666,1,1
Nebraska,2016,176419.91666666666,178490,12,31,0.15754946273153383,0,0.6301978509261353,0,0,12.405299166666667,1,1
Nebraska,2017,174549.5,178526,12,31,0.19520348604384188,0,0.7808139441753675,0,0,9.653438916666666,1,1
Nebraska,2018,167335.83333333334,172567,12,31,0.21262702675227993,0,0.8505081070091197,0,0,8.380078333333334,1,1
Nebraska,2019,147048.25,163384,12,31,0.15998427404026808,0,0.8532494615480964,0,0,8.32999188888889,1,1
Nevada,2010,295042.0833333333,324658,12,32,0.4787605221338451,1,0.9150420885353805,0,0,7.200997833333333,1,0
Nevada,2011,340797.3333333333,353889,12,32,0.4381292203747218,0.8333333333333334,0.9191835481655539,0,0,7.1253305000000005,1,0.16666666666666666
Nevada,2012,356642.75,360777,12,32,0.22862410146625353,0,0.9144964058650141,0,0,7.210967833333333,1,1
Nevada,2013,363623.5833333333,372377,12,32,0.2291350997178067,0,0.9165403988712268,0,0,7.173622666666667,1,1
Nevada,2014,393094.5,410201,12,32,0.22794560248913032,0,0.9117824099565213,0,0,7.2605544166666665,1,1
Nevada,2015,428315.9166666667,441006,12,32,0.22804539345490218,0,0.9121815738196087,0,0,7.253261416666667,1,1
